,code,value
239,gb_ruth,916877625.0
240,gb_abcd,628990670.0
241,gb_su,66260479840.0
242,gb_msft,821103584000.0
243,gb_bbva,40949590198.0
244,gb_rjf,13323436212.0
245,gb_unt,1467985393.0
246,gb_rci,27388034310.0
247,gb_itg,729755832.0
249,gb_frbk,446574882.0
250,gb_hal,35511600000.0
252,gb_exp,4522921120.0
253,gb_kool,5135442.0
254,gb_kbh,2107161888.0
255,gb_ras,14515051.0
256,gb_cass,890299760.0
258,gb_cece,294021149.0
259,gb_lbtyk,20070526991.0
261,gb_trn,5413205000.0
262,gb_mchx,111137460.0
263,gb_hlx,1328519790.0
264,gb_lbtya,20620298370.0
267,gb_ttwo,14175003920.0
268,gb_sd,568845200.0
269,gb_cg,7773080000.0
270,gb_jrjc,41657500.0
271,gb_plce,2238354000.0
272,gb_aey,14531664.0
273,gb_win,221186000.0
274,gb_wft,2679240000.0
275,gb_cvgi,267200043.0
276,gb_bgfv,125372075.0
277,gb_cmls,531909560.0
278,gb_cqh,6765640000.0
279,gb_bbw,128231113.0
280,gb_hlf,8261135999.0
281,gb_sb,305650450.0
282,gb_amswa,507216349.0
283,gb_mtr,26797306.0
284,gb_cyh,409241317.0
285,gb_io,233850083.0
286,gb_chl,195313555260.0
287,gb_cdns,12748984640.0
288,gb_mth,1709309498.0
289,gb_ypf,6130938724.0
290,gb_clw,471611059.0
292,gb_oi,2812302020.0
293,gb_amot,457832000.0
294,gb_nov,16896331990.0
295,gb_gtls,2389196499.0
296,gb_dq,452805760.0
297,gb_fnsr,2203261470.0
300,gb_dds,2576476000.0
301,gb_kof,3258390432.0
302,gb_hov,228094785.0
303,gb_strt,137201091.0
304,gb_twtr,22765427600.0
305,gb_mro,17062920000.0
306,gb_avgo,75659520000.0
307,gb_trno,2241188736.0
308,gb_soda,3214528200.0
309,gb_pwr,5103473273.0
310,gb_alot,122935950.0
311,gb_lea,11476065092.0
312,gb_mdt,121920429480.0
313,gb_rba,4141985996.0
314,gb_virc,74483666.0
315,gb_sne,69222360209.0
316,gb_mtw,815916019.0
317,gb_snn,30990174772.0
318,gb_rcii,786989177.0
319,gb_pntr,100450000.0
320,gb_luk,8086377082.0
321,gb_rig,5168238555.0
322,gb_aem,8259786846.0
323,gb_penn,3118078358.0
324,gb_tlk,23405760000.0
325,gb_amc,2433129300.0
327,gb_wprt,373565732.0
328,gb_gbl,748414982.0
329,gb_swk,21914598503.0
330,gb_dsx,446834339.0
331,gb_mgpi,1242015171.0
332,gb_rok,21403588154.0
336,gb_dhi,16885523860.0
337,gb_tef,43319473185.0
338,gb_kro,2342494576.0
340,gb_inve,95101800.0
341,gb_eeq,1161560680.0
342,gb_ete,21056196424.0
343,gb_txt,16838761500.0
344,gb_phg,39812119465.0
345,gb_pac,4074357826.0
346,gb_lrn,673048686.0
347,gb_bx,44025312000.0
349,gb_eep,5164298530.0
350,gb_vmc,14554770720.0
351,gb_glmd,237150630.0
352,gb_cenx,1045081015.0
354,gb_artw,12176526.0
356,gb_iesc,409266844.0
358,gb_born,28297500.0
359,gb_wbc,6505501339.0
360,gb_patk,1514849888.0
361,gb_kona,33146445.0
363,gb_hoft,553096000.0
364,gb_hhs,43688610.0
365,gb_aes,9234942536.0
366,gb_ktos,1340640371.0
367,gb_rdy,5679603862.0
369,gb_big,2062283980.0
370,gb_ntri,1180423700.0
371,gb_fl,6069443438.0
372,gb_wsm,4993140000.0
373,gb_eog,66473294400.0
374,gb_hmy,677276600.0
375,gb_cls,1722059340.0
376,gb_oii,2555851728.0
377,gb_ford,14014759.0
378,gb_hmhc,759303009.0
379,gb_jci,35831485291.0
380,gb_uhs,11881959769.0
381,gb_alg,1147416003.0
382,gb_sol,45724612.0
383,gb_utsi,134600250.0
384,gb_eei,58931974.0
385,gb_apog,1400844816.0
387,gb_sohu,858119850.0
388,gb_ttmi,1864058520.0
389,gb_cbl,804603559.0
390,gb_twx,77238140000.0
391,gb_rosg,2549246.0
392,gb_wll,4161756948.0
394,gb_pxd,29395829242.0
395,gb_syx,1343003120.0
396,gb_slca,1729970189.0
397,gb_calx,371364000.0
398,gb_amkr,2089665180.0
399,gb_mmyt,1487589823.0
400,gb_nfx,5264111373.0
401,gb_dnr,2168114199.0
403,gb_chs,1312834560.0
404,gb_sblk,832796851.0
405,gb_hele,3050145631.0
406,gb_r,4147229828.0
407,gb_rmcf,59644903.0
408,gb_res,3209515380.0
409,gb_amt,66526436940.0
410,gb_eth,618132550.0
411,gb_svu,1249560000.0
412,gb_un,171106703300.0
414,gb_ipgp,8717865690.0
415,gb_sbs,4340287668.0
417,gb_musa,2779977801.0
418,gb_wit,22823901013.0
419,gb_odfl,12195350565.0
420,gb_mdc,1777169293.0
421,gb_rcl,24588947417.0
422,gb_pro,1154383153.0
423,gb_cxo,20272549251.0
424,gb_leg,5902775863.0
425,gb_phm,7999103060.0
426,gb_anw,75591144.0
427,gb_do,2319833862.0
428,gb_uri,12802341483.0
429,gb_pbi,1548419242.0
430,gb_ksu,11911058247.0
431,gb_nmr,15636802162.0
432,gb_eqt,13343650000.0
433,gb_wynn,15837884844.0
434,gb_seneb,273332439.0
435,gb_bvn,3085176710.0
436,gb_apc,31259712000.0
437,gb_omi,1015534890.0
439,gb_tpx,3106880127.0
440,gb_clny,2977165040.0
441,gb_forty,552032250.0
442,gb_nvec,553441743.0
443,gb_drq,1900994027.0
444,gb_wti,866928161.0
445,gb_hp,6868891079.0
446,gb_nat,299509575.0
447,gb_tho,4899088084.0
448,gb_tmhc,2133065339.0
449,gb_ctb,1525203229.0
450,gb_cve,11329443800.0
451,gb_elp,686381823.0
452,gb_bosc,8393507.0
453,gb_pfbi,267656803.0
454,gb_rand,14150505.0
455,gb_usm,3831299999.0
456,gb_dvn,21115080000.0
457,gb_ois,1909644018.0
458,gb_ens,3348687790.0
459,gb_aezs,22094800.0
460,gb_alim,63027566.0
461,gb_sc,7748608595.0
462,gb_hsii,793236241.0
464,gb_bp,137546409000.0
465,gb_lux,29047898812.0
466,gb_bpi,362178960.0
467,gb_aimc,1181777126.0
468,gb_ipg,8699375000.0
469,gb_amp,20078677624.0
470,gb_bcrh,88986724.0
471,gb_vg,3458084640.0
472,gb_meli,14119317139.0
473,gb_klic,1722591980.0
474,gb_wuhn,26000000.0
475,gb_aeo,5066238750.0
477,gb_cea,13835842000.0
478,gb_sna,10011663050.0
479,gb_cbak,16552276.0
480,gb_ahpi,9766540.0
481,gb_hlit,448554750.0
482,gb_glf,278780040.0
483,gb_gifi,142156992.0
484,gb_ayi,5798983816.0
486,gb_wlk,12523049492.0
487,gb_gnrc,2926803151.0
488,gb_pgc,623629906.0
490,gb_cvi,3206670676.0
491,gb_mvo,109250000.0
492,gb_nuan,4770707200.0
493,gb_nvgs,670658463.0
494,gb_bxc,324156565.0
495,gb_alv,8141697241.0
496,gb_alsk,86104896.0
