,_id,amount,classtype,close,date,high,low,market,open,stock_code,time,volume
698,5b44671aae17be164099a360,12238090,kline_min1,42.2,2018-06-08,42.68,42.2,0,42.68,002460,931,287600
700,5b44671aae17be164099fec7,4231312,kline_min1,6.73,2018-06-08,6.78,6.72,0,6.78,002461,931,626000
702,5b44671aae17be16409a57d3,432047,kline_min1,21.14,2018-06-08,21.32,21.13,0,21.32,002462,931,20400
704,5b44671bae17be16409ab341,566702,kline_min1,4.16,2018-06-08,4.18,4.14,0,4.14,002463,931,135800
707,5b44671bae17be16409b3c21,4008847,kline_min1,8.9,2018-06-08,8.91,8.85,0,8.85,002465,931,451500
710,5b44671cae17be16409beadc,86715,kline_min1,6.15,2018-06-08,6.15,6.15,0,6.15,002467,931,14100
712,5b44671cae17be16409c4572,995415,kline_min1,23.82,2018-06-08,24.0,23.8,0,24.0,002468,931,41600
714,5b44671cae17be16409c9c0b,1672472,kline_min1,4.96,2018-06-08,5.0,4.96,0,5.0,002469,931,334800
716,5b446754ae17be16409cec8e,459662,kline_min1,8.16,2018-06-08,8.16,8.14,0,8.15,002470,931,56400
3721,5b446755ae17be16409d43d6,58560,kline_min1,3.2,2018-06-08,3.2,3.2,0,3.2,002471,932,18300
718,5b446755ae17be16409d9987,1066449,kline_min1,9.27,2018-06-08,9.31,9.25,0,9.25,002472,931,115000
720,5b446755ae17be16409de9f8,78646,kline_min1,6.83,2018-06-08,6.84,6.83,0,6.84,002473,931,11500
722,5b446755ae17be16409e2740,816521,kline_min1,8.2,2018-06-08,8.21,8.18,0,8.18,002474,931,99700
724,5b446755ae17be16409e823b,7394695,kline_min1,24.12,2018-06-08,24.14,23.8,0,23.8,002475,931,309500
726,5b446756ae17be16409edc05,40064,kline_min1,5.22,2018-06-08,5.22,5.2,0,5.2,002476,931,7700
728,5b446756ae17be16409f23cf,337490,kline_min1,3.45,2018-06-08,3.46,3.45,0,3.46,002477,931,97600
730,5b446756ae17be16409f8807,111201,kline_min1,4.84,2018-06-08,4.86,4.84,0,4.86,002478,931,22900
731,5b446756ae17be16409fddbf,136809,kline_min1,6.43,2018-06-08,6.43,6.42,0,6.42,002479,931,21300
734,5b446791ae17be1640a0382c,1038152,kline_min1,8.45,2018-06-08,8.51,8.45,0,8.5,002480,931,122200
736,5b446791ae17be1640a08eb7,5694950,kline_min1,4.56,2018-06-08,4.59,4.56,0,4.56,002481,931,1246900
739,5b446791ae17be1640a0e80d,317496,kline_min1,6.96,2018-06-08,6.98,6.92,0,6.92,002482,931,45600
741,5b446791ae17be1640a13ece,13744347,kline_min1,5.07,2018-06-08,5.08,5.01,0,5.01,002483,931,2715400
742,5b446792ae17be1640a18f69,163267,kline_min1,7.73,2018-06-08,7.74,7.73,0,7.73,002484,931,21100
745,5b446792ae17be1640a224e2,98901,kline_min1,3.98,2018-06-08,3.99,3.98,0,3.99,002486,931,24800
746,5b446792ae17be1640a27c95,33372,kline_min1,4.12,2018-06-08,4.12,4.12,0,4.12,002487,931,8100
749,5b446793ae17be1640a2d04f,980608,kline_min1,13.75,2018-06-08,13.83,13.7,0,13.83,002488,931,71200
750,5b446793ae17be1640a32a12,13475,kline_min1,4.07,2018-06-08,4.09,4.07,0,4.09,002489,931,3300
752,5b4467cdae17be1640a382f9,974145,kline_min1,5.16,2018-06-08,5.21,5.16,0,5.19,002490,931,187500
754,5b4467cdae17be1640a3d894,692781,kline_min1,12.65,2018-06-08,12.79,12.64,0,12.79,002491,931,54500
756,5b4467cdae17be1640a43398,1618541,kline_min1,6.91,2018-06-08,6.92,6.9,0,6.92,002492,931,234000
758,5b4467cdae17be1640a48e37,1866858,kline_min1,10.82,2018-06-08,10.85,10.82,0,10.84,002493,931,172200
761,5b4467cdae17be1640a4e8b5,43105,kline_min1,6.85,2018-06-08,6.86,6.83,0,6.84,002494,931,6300
762,5b4467ceae17be1640a53f59,47010,kline_min1,3.31,2018-06-08,3.32,3.31,0,3.31,002495,931,14200
765,5b4467ceae17be1640a5937f,1866628,kline_min1,3.12,2018-06-08,3.15,3.12,0,3.15,002496,931,595300
766,5b4467ceae17be1640a5eec2,3287928,kline_min1,11.48,2018-06-08,11.58,11.48,0,11.56,002497,931,284800
768,5b4467cfae17be1640a64999,87695,kline_min1,2.65,2018-06-08,2.65,2.64,0,2.65,002498,931,33100
